selector_name,page_name,selector_type,selector,comments
username_input,login,input,"input[name='username']",Username input field for login
password_input,login,input,"input[name='password']",Password input field for login
login_button,login,button,"button[type='submit']",Login submit button
forgot_password_link,login,link,"a[href*='forgot-password']",Forgot password link
welcome_message,home,text,".welcome-message",Welcome message on homepage
navigation_menu,home,menu,".nav-menu",Main navigation menu
user_profile_dropdown,home,dropdown,".user-profile-dropdown",User profile dropdown
sidebar_menu,dashboard,menu,".sidebar-menu",Dashboard sidebar menu
main_content,dashboard,container,".main-content",Main dashboard content area
stats_widget,dashboard,widget,".stats-widget",Statistics widget
edit_profile_button,profile,button,"button[data-testid='edit-profile']",Edit profile button
save_changes_button,profile,button,"button[data-testid='save-changes']",Save changes button
cancel_button,profile,button,"button[data-testid='cancel']",Cancel button
